2018-01-11 10:31:05 INFO  TC001_VerifyLoginWithInvalidCredentials:23 - --------------- Staring verifyLoginWithInvalidCredentials -----------------
2018-01-11 10:31:06 INFO  HomePage:37 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (4154c3d133816b41c85c6c0c68b8c4df)] -> xpath: //a[@class='login']]
2018-01-11 10:31:06 INFO  HomePage:39 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (4154c3d133816b41c85c6c0c68b8c4df)] -> id: email]
2018-01-11 10:31:06 INFO  HomePage:41 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (4154c3d133816b41c85c6c0c68b8c4df)] -> id: passwd]
2018-01-11 10:31:07 INFO  HomePage:43 - Clicked on LogIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (4154c3d133816b41c85c6c0c68b8c4df)] -> xpath: //button[@id='SubmitLogin']]
2018-01-11 10:31:07 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - --------------- Finished verifyLoginWithInvalidCredentials -----------------
2018-01-11 10:33:09 INFO  TC001_VerifyLoginWithInvalidCredentials:23 - --------------- Staring verifyLoginWithInvalidCredentials -----------------
2018-01-11 10:33:10 INFO  HomePage:37 - Clicked on SignIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (cf642a34a495e6760ee30d073067074b)] -> xpath: //a[@class='login']]
2018-01-11 10:33:10 INFO  HomePage:39 - Entered the email id and the boject is - [[ChromeDriver: chrome on WIN8_1 (cf642a34a495e6760ee30d073067074b)] -> id: email]
2018-01-11 10:33:11 INFO  HomePage:41 - Entered the password and the boject is - [[ChromeDriver: chrome on WIN8_1 (cf642a34a495e6760ee30d073067074b)] -> id: passwd]
2018-01-11 10:33:11 INFO  HomePage:43 - Clicked on LogIn Buton and the boject is - [[ChromeDriver: chrome on WIN8_1 (cf642a34a495e6760ee30d073067074b)] -> xpath: //button[@id='SubmitLogin']]
2018-01-11 10:33:11 INFO  HomePage:48 - Error message is - Authentication failed.
2018-01-11 10:33:11 INFO  TC001_VerifyLoginWithInvalidCredentials:28 - --------------- Finished verifyLoginWithInvalidCredentials -----------------
2018-01-11 14:51:45 INFO  TC001_VerifyLoginWithInvalidCredentials:23 - --------------- Staring verifyLoginWithInvalidCredentials -----------------
